round_no,date,round_type,invitations,min_score,tie_break,ingested_at
"220","2022-04-13","Provincial Nominee Program","787","782","April 07, 2022 at 16:31:21 UTC","2026-09-25T00:20:35Z"
"219","2022-03-30","Provincial Nominee Program","919","785","November 15, 2021 at 20:23:16 UTC","2026-09-25T00:20:35Z"
"218","2022-03-16","Provincial Nominee Program","924","754","February 10, 2022 at 14:35:27 UTC","2026-09-25T00:20:35Z"
"217","2022-03-02","Provincial Nominee Program","1047","761","January 05, 2022 at 14:22:03 UTC","2026-09-25T00:20:35Z"
"216","2022-02-16","Provincial Nominee Program","1082","710","October 07, 2021 at 11:36:55 UTC","2026-09-25T00:20:35Z"
"215","2022-02-02","Provincial Nominee Program","1070","674","February 18 2021 at 05:05:15 UTC","2026-09-25T00:20:35Z"
"214","2022-01-19","Provincial Nominee Program","1036","745","July 05, 2021 at 13:12:05 UTC","2026-09-25T00:20:35Z"
"213","2022-01-05","Provincial Nominee Program","392","808","March 04, 2021 at 16:57:50 UTC","2026-09-25T00:20:35Z"
"212","2021-12-22","Provincial Nominee Program","746","720","November 24, 2021 at 16:56:42 UTC","2026-09-25T00:20:35Z"
"211","2021-12-10","Provincial Nominee Program","1032","698","September 10, 2021 at 16:43:17 UTC","2026-09-25T00:20:35Z"
"210","2021-11-24","Provincial Nominee Program","613","737","June 22, 2021 at 20:19:59 PM UTC","2026-09-25T00:20:35Z"
"209","2021-11-10","Provincial Nominee Program","775","685","August 12, 2021 at 20:05:46 UTC","2026-09-25T00:20:35Z"
"208","2021-10-27","Provincial Nominee Program","681","744","October 7 at 16:38:21 UTC","2026-09-25T00:20:35Z"
"207","2021-10-13","Provincial Nominee Program","681","720","March 16, 2021 at 07:53:28 UTC","2026-09-25T00:20:35Z"
"206","2021-09-29","Provincial Nominee Program","761","742","July 29, 2021 at 09:45:29 UTC","2026-09-25T00:20:35Z"
"205","2021-09-15","Provincial Nominee Program","521","732","February 24, 2021 at 10:46:54 UTC","2026-09-25T00:20:35Z"
"204","2021-09-14","Canadian Experience Class","2000","462","September 11, 2021 at 10:55:43 UTC","2026-09-25T00:20:35Z"
"203","2021-09-01","Provincial Nominee Program","635","764","April 12, 2021 at 12:21:45 UTC","2026-09-25T00:20:35Z"
"202","2021-08-19","Canadian Experience Class","3000","403","August 01, 2021 at 10:13:57 UTC","2026-09-25T00:20:35Z"
"201","2021-08-18","Provincial Nominee Program","463","751","April 13, 2021 at 16:29:29 UTC","2026-09-25T00:20:35Z"
"200","2021-08-05","Canadian Experience Class","3000","404","August 3, 2021 at 05:39:26 UTC","2026-09-25T00:20:35Z"
"199","2021-08-04","Provincial Nominee Program","512","760","March 5, 2021 at 22:38:31 UTC","2026-09-25T00:20:35Z"
"198","2021-07-22","Canadian Experience Class","4500","357","February 14, 2021 at 09:04:15 UTC","2026-09-25T00:20:35Z"
"197","2021-07-21","Provincial Nominee Program","462","734","April 11, 2021 at 10:56:32 UTC","2026-09-25T00:20:35Z"
"196","2021-07-08","Canadian Experience Class","4500","369","June 10, 2021 at 22:46:37 UTC","2026-09-25T00:20:35Z"
"195","2021-07-07","Provincial Nominee Program","627","760","June 14, 2021 at 07:44:05 UTC","2026-09-25T00:20:35Z"
"194","2021-06-24","Canadian Experience Class","6000","357","February 17, 2021 at 10:15:50 UTC","2026-09-25T00:20:35Z"
"193","2021-06-23","Provincial Nominee Program","1002","742","February 18, 2021 at 04:04:56 UTC","2026-09-25T00:20:35Z"
"192","2021-06-10","Canadian Experience Class","6000","368","April 28, 2021 at 05:45:14 UTC","2026-09-25T00:20:35Z"
"191","2021-06-09","Provincial Nominee Program","940","711","February 16, 2021 at 09:06:30 UTC","2026-09-25T00:20:35Z"
"190","2021-05-31","Canadian Experience Class","5956","380","May 28, 2021 at 14:45:22 UTC","2026-09-25T00:20:35Z"
"189","2021-05-26","Provincial Nominee Program","500","713","April 06, 2021 at 09:50:14 UTC","2026-09-25T00:20:35Z"
"188","2021-05-20","Canadian Experience Class","1842","397","April 24, 2021 at 12:09:24 UTC","2026-09-25T00:20:35Z"
"187","2021-05-13","Canadian Experience Class","4147","401","April 29, 2021 at 11:48:14 UTC","2026-09-25T00:20:35Z"
"186","2021-05-12","Provincial Nominee Program","557","752","April 29, 2021 at 10:18:12 UTC","2026-09-25T00:20:35Z"
"185","2021-04-29","Canadian Experience Class","6000","400","April 24, 2021 at 15:24:49 UTC","2026-09-25T00:20:35Z"
"184","2021-04-28","Provincial Nominee Program","381","717","March 16, 2021 at 21:20:50 UTC","2026-09-25T00:20:35Z"
"183","2021-04-16","Canadian Experience Class","6000","417","March 01, 2021 at 19:53:46 UTC","2026-09-25T00:20:35Z"
"182","2021-04-14","Provincial Nominee Program","266","753","March 01, 2021 at 15:22:18 UTC","2026-09-25T00:20:35Z"
"181","2021-04-01","Canadian Experience Class","5000","432","February 16, 2021 at 09:51:22 UTC","2026-09-25T00:20:35Z"
"180","2021-03-31","Provincial Nominee Program","284","778","March 16, 2021 at 16:09:32 UTC","2026-09-25T00:20:35Z"
"179","2021-03-18","Canadian Experience Class","5000","449","February 19, 2021 at 15:59:57 UTC","2026-09-25T00:20:35Z"
"178","2021-03-17","Provincial Nominee Program","183","682","March 04, 2021 at 16:56:20 UTC","2026-09-25T00:20:35Z"
"177","2021-03-08","Provincial Nominee Program","671","739","February 16, 2021 at 19:10:25 UTC","2026-09-25T00:20:35Z"
"176","2021-02-13","Canadian Experience Class","27332","75","September 12, 2020 at 15:31:40 UTC","2026-09-25T00:20:35Z"
"175","2021-02-10","Provincial Nominee Program","654","720","August 14, 2020 at 06:51:00 UTC","2026-09-25T00:20:35Z"
"174","2021-01-21","Canadian Experience Class","4626","454","July 23, 2020 at 17:32:00 UTC","2026-09-25T00:20:35Z"
"173","2021-01-20","Provincial Nominee Program","374","741","September 5, 2020 at 19:39:04 UTC","2026-09-25T00:20:35Z"
"172","2021-01-07","Canadian Experience Class","4750","461","September 12, 2020 at 20:46:32 UTC","2026-09-25T00:20:35Z"
"171","2021-01-06","Provincial Nominee Program","250","813","November 2, 2020 at 11:11:52 UTC","2026-09-25T00:20:35Z"
"170","2020-12-23","No Program Specified","5000","468","June 4, 2020 at 13:39:44 UTC","2026-09-25T00:20:35Z"
"169","2020-12-09","No Program Specified","5000","469","June 4, 2020 at 22:26:05 UTC","2026-09-25T00:20:35Z"
"168","2020-11-25","No Program Specified","5000","469","October 15, 2020 at 08:50:10 UTC","2026-09-25T00:20:35Z"
"167","2020-11-18","No Program Specified","5000","472","October 27, 2020 at 06:18:11 UTC","2026-09-25T00:20:35Z"
"166","2020-11-05","No Program Specified","4500","478","October 26, 2020 at 22:44:19 UTC","2026-09-25T00:20:35Z"
"165","2020-10-14","No Program Specified","4500","471","September 1, 2020 at 12:11:23 UTC","2026-09-25T00:20:35Z"
"164","2020-09-30","No Program Specified","4200","471","March 2, 2020 at 12:47:08 UTC","2026-09-25T00:20:35Z"
"163","2020-09-16","No Program Specified","4200","472","March 09, 2020 at 13:03:40 UTC","2026-09-25T00:20:35Z"
"162","2020-09-02","No Program Specified","4200","475","August 16, 2020 at 01:22:18 UTC","2026-09-25T00:20:35Z"
"161","2020-08-20","Canadian Experience Class","3300","454","July 27, 2020 at 17:05:11 UTC","2026-09-25T00:20:35Z"
"160","2020-08-19","Provincial Nominee Program","600","771","July 24, 2020 at 11:39:23 UTC","2026-09-25T00:20:35Z"
"159","2020-08-06","Federal Skilled Trades","250","415","June 2, 2020 at 09:35:31 UTC","2026-09-25T00:20:35Z"
"158","2020-08-05","No Program Specified","3900","476","July 27, 2020 at 01:02:47 UTC","2026-09-25T00:20:35Z"
"157","2020-07-23","Canadian Experience Class","3343","445","July 12, 2020 at 15:16:55 UTC","2026-09-25T00:20:35Z"
"156","2020-07-22","Provincial Nominee Program","557","687","November 11, 2019 at 08:51:21 UTC","2026-09-25T00:20:35Z"
"155","2020-07-08","No Program Specified","3900","478","February 11, 2020 at 03:17:13 UTC","2026-09-25T00:20:35Z"
"154","2020-06-25","Canadian Experience Class","3508","431","April 3, 2020 at 12:56:32 UTC","2026-09-25T00:20:35Z"
"153","2020-06-24","Provincial Nominee Program","392","696","April 23, 2020 at 10:39:30 UTC","2026-09-25T00:20:35Z"
"152","2020-06-11","Canadian Experience Class","3559","437","May 25, 2020 at 00:31:43 UTC","2026-09-25T00:20:35Z"
"151","2020-06-10","Provincial Nominee Program","341","743","April 14, 2020 at 13:25:51 UTC","2026-09-25T00:20:35Z"
"150","2020-05-28","Canadian Experience Class","3515","440","March 7, 2020 at 10:36:59 UTC","2026-09-25T00:20:35Z"
"149","2020-05-27","Provincial Nominee Program","385","757","April 27, 2020 at 10:19:01 UTC","2026-09-25T00:20:35Z"
"148","2020-05-14","Canadian Experience Class","3371","447","December 23, 2019 at 10:01:06 UTC","2026-09-25T00:20:35Z"
"147","2020-05-13","Provincial Nominee Program","529","718","March 19, 2020 at 12:53:21 UTC","2026-09-25T00:20:35Z"
"146","2020-04-30","Canadian Experience Class","3311","452","October 10, 2019 at 19:15:28 UTC","2026-09-25T00:20:35Z"
"145","2020-04-29","Provincial Nominee Program","589","692","March 11, 2020 at 13:46:21 UTC","2026-09-25T00:20:35Z"
"144","2020-04-16","Canadian Experience Class","3782","455","January 20, 2020 at 17:37:33 UTC","2026-09-25T00:20:35Z"
"143","2020-04-15","Provincial Nominee Program","118","808","March 18, 2020 at 10:30:55 UTC","2026-09-25T00:20:35Z"
"142","2020-04-09","Canadian Experience Class","3294","464","January 4, 2020 at 12:16:45 UTC","2026-09-25T00:20:35Z"
"141","2020-04-09","Provincial Nominee Program","606","698","December 18, 2019 at 11:29:51 UTC","2026-09-25T00:20:35Z"
"140","2020-03-23","Canadian Experience Class","3232","467","November 25, 2019 at 14:00:35 UTC","2026-09-25T00:20:35Z"
"139","2020-03-18","Provincial Nominee Program","668","720","March 19, 2020 at 02:04:06 UTC","2026-09-25T00:20:35Z"
"138","2020-03-04","No Program Specified","3900","471","February 24, 2020 at 06:02:57 UTC","2026-09-25T00:20:35Z"
"137","2020-02-19","No Program Specified","4500","470","January 13, 2020 at 10:52:52 UTC","2026-09-25T00:20:35Z"
"136","2020-02-05","No Program Specified","3500","472","January 30, 2020 at 07:36:26 UTC","2026-09-25T00:20:35Z"
"135","2020-01-22","No Program Specified","3400","471","May 9, 2019 at 01:16:02 UTC","2026-09-25T00:20:35Z"
"134","2020-01-08","No Program Specified","3400","473","December 27, 2019 at 13:35:09 UTC","2026-09-25T00:20:35Z"
"133","2019-12-19","No Program Specified","3200","469","November 14, 2019 at 08:41:33 UTC","2026-09-25T00:20:35Z"
"132","2019-12-11","No Program Specified","3200","472","December 6, 2019 at 03:03:49 UTC","2026-09-25T00:20:35Z"
"131","2019-11-27","No Program Specified","3600","471","November 11, 2019 at 6:29:10 UTC","2026-09-25T00:20:35Z"
"130","2019-11-13","No Program Specified","3600","472","October 8, 2019 at 10:46:01 UTC","2026-09-25T00:20:35Z"
"129","2019-10-30","No Program Specified","3900","475","August 29, 2019 at 03:50:24 UTC","2026-09-25T00:20:35Z"
"128","2019-10-16","Federal Skilled Trades","500","357","March 4, 2019 at 20:36:42 UTC","2026-09-25T00:20:35Z"
"127","2019-10-02","No Program Specified","3900","464","September 20, 2019 at 15:05:04 UTC","2026-09-25T00:20:35Z"
"126","2019-09-18","No Program Specified","3600","462","August 29, 2019 at 07:57:13 UTC","2026-09-25T00:20:35Z"
"125","2019-09-04","No Program Specified","3600","463","August 23, 2019 at 13:33:34 UTC","2026-09-25T00:20:35Z"
"124","2019-08-20","No Program Specified","3600","457","March 24, 2019 at 15:32:42 UTC","2026-09-25T00:20:35Z"
"123","2019-08-12","No Program Specified","3600","466","August 6, 2019 at 12:14:53 UTC","2026-09-25T00:20:35Z"
"122","2019-07-24","No Program Specified","3600","459","May 25, 2019 at 14:40:52 UTC","2026-09-25T00:20:35Z"
"121","2019-07-10","No Program Specified","3600","460","June 11, 2019 at 00:27:18 UTC","2026-09-25T00:20:35Z"
"120","2019-06-26","No Program Specified","3350","462","May 11, 2019 at 17:40:54 UTC","2026-09-25T00:20:35Z"
"119","2019-06-12","No Program Specified","3350","465","June 6, 2019 at 13:51:59 UTC","2026-09-25T00:20:35Z"
"118","2019-05-29","No Program Specified","3350","470","May 23, 2019 at 10:18:56 UTC","2026-09-25T00:20:35Z"
"117","2019-05-15","Federal Skilled Trades","500","332","August 29, 2018 at 8:32:03 UTC","2026-09-25T00:20:35Z"
"116","2019-05-01","No Program Specified","3350","450","November 5, 2018 at 12:27:07 UTC","2026-09-25T00:20:35Z"
"115","2019-04-17","No Program Specified","3350","451","April 2, 2019 at 15:01:49 UTC","2026-09-25T00:20:35Z"
"114","2019-04-03","No Program Specified","3350","451","January 9, 2019 at 7:35:09 UTC","2026-09-25T00:20:35Z"
"113","2019-03-20","No Program Specified","3350","452","February 7, 2019 at 9:59:25 UTC","2026-09-25T00:20:35Z"
"112","2019-03-06","No Program Specified","3350","454","February 11, 2019 at 17:21:27 UTC","2026-09-25T00:20:35Z"
"111","2019-02-20","No Program Specified","3350","457","December 6, 2018 at 12:38:11 UTC","2026-09-25T00:20:35Z"
"110","2019-01-30","No Program Specified","3350","438","April 26, 2018 at 05:00:46 UTC","2026-09-25T00:20:35Z"
"109","2019-01-23","No Program Specified","3900","443","January 2, 2019 at 03:55:26 UTC","2026-09-25T00:20:35Z"
"108","2019-01-09","No Program Specified","3900","449","January 2, 2019 at 11:40:53 UTC","2026-09-25T00:20:35Z"
"107","2018-12-19","No Program Specified","3900","439","February 6, 2018 at 19:31:37 UTC","2026-09-25T00:20:35Z"
"106","2018-12-12","No Program Specified","3900","445","November 28, 2018 at 09:51:43 UTC","2026-09-25T00:20:35Z"
"105","2018-11-28","No Program Specified","3900","445","October 22, 2018 at 14:40:13 UTC","2026-09-25T00:20:35Z"
"104","2018-11-14","No Program Specified","3900","449","September 16, 2018 at 12:41:42 UTC","2026-09-25T00:20:35Z"
"103","2018-10-29","No Program Specified","3900","442","October 16, 2018 at 06:09:04 UTC","2026-09-25T00:20:35Z"
"102","2018-10-15","No Program Specified","3900","440","September 18, 2018 at 11:06:29 UTC","2026-09-25T00:20:35Z"
"101","2018-10-03","No Program Specified","3900","445","October 2, 2018 at 04:02:11 UTC","2026-09-25T00:20:35Z"
"100","2018-09-24","Federal Skilled Trades","400","284","February 18, 2018 at 12:31:16 UTC","2026-09-25T00:20:35Z"
"99","2018-09-19","No Program Specified","3500","441","September 6, 2018 at 10:28:45 UTC","2026-09-25T00:20:35Z"
"98","2018-09-05","No Program Specified","3900","440","April 29, 2018 at 14:28:34 UTC","2026-09-25T00:20:35Z"
"97","2018-08-22","No Program Specified","3750","440","February 21, 2018 at 11:28:03 UTC","2026-09-25T00:20:35Z"
"96","2018-08-08","No Program Specified","3750","440","January 31, 2018 at 00:06:40 UTC","2026-09-25T00:20:35Z"
"95","2018-07-25","No Program Specified","3750","441","December 31, 2017 at 12:14:21 UTC","2026-09-25T00:20:35Z"
"94","2018-07-11","No Program Specified","3750","442","June 26, 2018 at 13:18:55 UTC","2026-09-25T00:20:35Z"
"93","2018-06-25","No Program Specified","3750","442","January 28, 2018 at 21:06:11 UTC","2026-09-25T00:20:35Z"
"92","2018-06-13","No Program Specified","3750","451","July 21, 2017 at 07:01:28 UTC","2026-09-25T00:20:35Z"
"91b","2018-05-30","Provincial Nominee Program","200","902","March 23, 2018 at 05:38:02 UTC","2026-09-25T00:20:35Z"
"91a","2018-05-30","Federal Skilled Trades","500","288","June 7, 2017 at 20:11:13 UTC","2026-09-25T00:20:35Z"
"90","2018-05-23","No Program Specified","3500","440","December 30, 2017 at 06:39:40 UTC","2026-09-25T00:20:35Z"
"89","2018-05-09","No Program Specified","3500","441","December 12, 2017 at 01:51:38 UTC","2026-09-25T00:20:35Z"
"88","2018-04-25","No Program Specified","3500","441","December 8, 2017 at 10:25:33 UTC","2026-09-25T00:20:35Z"
"87","2018-04-11","No Program Specified","3500","444","March 26, 2018 at 08:25:40 UTC","2026-09-25T00:20:35Z"
"86","2018-03-26","No Program Specified","3000","446","February 23, 2018 at 08:06:19 UTC","2026-09-25T00:20:35Z"
"85","2018-03-14","No Program Specified","3000","456","March 3, 2018 at 02:12:11 UTC","2026-09-25T00:20:35Z"
"84","2018-02-21","No Program Specified","3000","442","February 11, 2018 at 17:03:32 UTC","2026-09-25T00:20:35Z"
"83","2018-02-07","No Program Specified","3000","442","May 29, 2017 at 07:01:15 UTC","2026-09-25T00:20:35Z"
"82","2018-01-24","No Program Specified","2750","444"," January 17, 2018 at 12:33:00 UTC","2026-09-25T00:20:35Z"
"81","2018-01-10","No Program Specified","2750","446","November 18, 2017 at 6:30:42 UTC","2026-09-25T00:20:35Z"
"80","2017-12-20","No Program Specified","2750","446","October 02, 2017 at 14:56:53 UTC","2026-09-25T00:20:35Z"
"79","2017-12-06","No Program Specified","2750","452","November 16, 2017 at 04:20:20 UTC","2026-09-25T00:20:35Z"
"78","2017-11-15","No Program Specified","2750","439","October 19, 2017 at 12:02:28 UTC","2026-09-25T00:20:35Z"
"77","2017-11-08","No Program Specified","2000","458","October 23, 2017 at 15:58:27 UTC","2026-09-25T00:20:35Z"
"76","2017-11-01","Federal Skilled Trades","505","241","","2026-09-25T00:20:35Z"
"75","2017-11-01","Provincial Nominee Program","290","673","","2026-09-25T00:20:35Z"
"74","2017-10-18","No Program Specified","2757","436","","2026-09-25T00:20:35Z"
"73","2017-10-04","No Program Specified","2801","438","","2026-09-25T00:20:35Z"
"72","2017-09-20","No Program Specified","2871","433","","2026-09-25T00:20:35Z"
"71","2017-09-06","No Program Specified","2772","435","","2026-09-25T00:20:35Z"
"70","2017-08-23","No Program Specified","3035","434","","2026-09-25T00:20:35Z"
"69","2017-08-09","No Program Specified","2991","433","","2026-09-25T00:20:35Z"
"68","2017-08-02","No Program Specified","3264","441","","2026-09-25T00:20:35Z"
"67","2017-07-12","No Program Specified","3202","440","","2026-09-25T00:20:35Z"
"66","2017-06-28","No Program Specified","3409","449","","2026-09-25T00:20:35Z"
"65","2017-05-31","No Program Specified","3877","413","","2026-09-25T00:20:35Z"
"64","2017-05-26","Federal Skilled Trades","400","199","","2026-09-25T00:20:35Z"
"63","2017-05-26","Provincial Nominee Program","143","775","","2026-09-25T00:20:35Z"
"62","2017-05-17","No Program Specified","3687","415","","2026-09-25T00:20:35Z"
"61","2017-05-04","No Program Specified","3796","423","","2026-09-25T00:20:35Z"
"60","2017-04-19","No Program Specified","3665","415","","2026-09-25T00:20:35Z"
"59","2017-04-12","No Program Specified","3923","423","","2026-09-25T00:20:35Z"
"58","2017-04-05","No Program Specified","3753","431","","2026-09-25T00:20:35Z"
"57","2017-03-24","No Program Specified","3749","441","","2026-09-25T00:20:35Z"
"56","2017-03-01","No Program Specified","3884","434","","2026-09-25T00:20:35Z"
"55","2017-02-22","No Program Specified","3611","441","","2026-09-25T00:20:35Z"
"54","2017-02-08","No Program Specified","3644","447","","2026-09-25T00:20:35Z"
"53","2017-01-25","No Program Specified","3508","453","","2026-09-25T00:20:35Z"
"52","2017-01-11","No Program Specified","3334","459","","2026-09-25T00:20:35Z"
"51","2017-01-04","No Program Specified","2902","468","","2026-09-25T00:20:35Z"
"50","2016-12-22","No Program Specified","2878","475","","2026-09-25T00:20:35Z"
"49","2016-12-16","No Program Specified","1936","497","","2026-09-25T00:20:35Z"
"48","2016-11-30","Provincial Nominee Program","559","786","","2026-09-25T00:20:35Z"
"47","2016-11-16","No Program Specified","2427","470","","2026-09-25T00:20:35Z"
"46","2016-11-02","No Program Specified","2080","472","","2026-09-25T00:20:35Z"
"45","2016-10-19","No Program Specified","1804","475","","2026-09-25T00:20:35Z"
"44","2016-10-12","No Program Specified","1518","484","","2026-09-25T00:20:35Z"
"43","2016-09-21","No Program Specified","1288","483","","2026-09-25T00:20:35Z"
"42","2016-09-07","No Program Specified","1000","491","","2026-09-25T00:20:35Z"
"41","2016-08-24","No Program Specified","750","538","","2026-09-25T00:20:35Z"
"40","2016-08-10","No Program Specified","754","490","","2026-09-25T00:20:35Z"
"39","2016-07-27","No Program Specified","755","488","","2026-09-25T00:20:35Z"
"38","2016-07-13","No Program Specified","747","482","","2026-09-25T00:20:35Z"
"37","2016-06-29","No Program Specified","773","482","","2026-09-25T00:20:35Z"
"36","2016-06-15","No Program Specified","752","488","","2026-09-25T00:20:35Z"
"35","2016-06-01","No Program Specified","762","483","","2026-09-25T00:20:35Z"
"34","2016-05-18","No Program Specified","763","484","","2026-09-25T00:20:35Z"
"33","2016-05-06","No Program Specified","799","534","","2026-09-25T00:20:35Z"
"32","2016-04-20","No Program Specified","1018","468","","2026-09-25T00:20:35Z"
"31","2016-04-06","No Program Specified","954","470","","2026-09-25T00:20:35Z"
"30","2016-03-23","No Program Specified","1014","470","","2026-09-25T00:20:35Z"
"29","2016-03-09","No Program Specified","1013","473","","2026-09-25T00:20:35Z"
"28","2016-02-24","No Program Specified","1484","453","","2026-09-25T00:20:35Z"
"27","2016-02-10","No Program Specified","1505","459","","2026-09-25T00:20:35Z"
"26","2016-01-27","No Program Specified","1468","457","","2026-09-25T00:20:35Z"
"25","2016-01-13","No Program Specified","1518","453","","2026-09-25T00:20:35Z"
"24","2016-01-06","No Program Specified","1463","461","","2026-09-25T00:20:35Z"
"23","2015-12-18","No Program Specified","1503","460","","2026-09-25T00:20:35Z"
"22","2015-12-04","No Program Specified","1451","461","","2026-09-25T00:20:35Z"
"21","2015-11-27","No Program Specified","1559","472","","2026-09-25T00:20:35Z"
"20","2015-11-13","No Program Specified","1506","484","","2026-09-25T00:20:35Z"
"19","2015-10-23","No Program Specified","1502","489","","2026-09-25T00:20:35Z"
"18","2015-10-02","No Program Specified","1530","450","","2026-09-25T00:20:35Z"
"17","2015-09-18","No Program Specified","1545","450","","2026-09-25T00:20:35Z"
"16","2015-09-08","No Program Specified","1517","459","","2026-09-25T00:20:35Z"
"15","2015-08-21","No Program Specified","1523","456","","2026-09-25T00:20:35Z"
"14","2015-08-07","No Program Specified","1402","471","","2026-09-25T00:20:35Z"
"13","2015-07-17","No Program Specified","1581","451","","2026-09-25T00:20:35Z"
"12","2015-07-10","No Program Specified","1516","463","","2026-09-25T00:20:35Z"
"11","2015-06-26","No Program Specified","1575","469","","2026-09-25T00:20:35Z"
"10","2015-06-12","No Program Specified","1501","482","","2026-09-25T00:20:35Z"
"9","2015-05-22","No Program Specified","1361","755","","2026-09-25T00:20:35Z"
"8","2015-04-17","No Program Specified","715","453","","2026-09-25T00:20:35Z"
"7","2015-04-10","No Program Specified","925","469","","2026-09-25T00:20:35Z"
"6","2015-03-27","No Program Specified","1637","453","","2026-09-25T00:20:35Z"
"5","2015-03-20","No Program Specified","1620","481","","2026-09-25T00:20:35Z"
"4","2015-02-27","No Program Specified","1187","735","","2026-09-25T00:20:35Z"
"3","2015-02-20","Canadian Experience Class","849","808","","2026-09-25T00:20:35Z"
"2","2015-02-07","No Program Specified","779","818","","2026-09-25T00:20:35Z"
"1","2015-01-31","No Program Specified","779","886","","2026-09-25T00:20:35Z"
